FileName,FileTime,Integration time,Analog gain,Digital gain,AE Mean,AEConverged
A3B18ED0.JPG,2026-06-23 23:38:21,27,0,64,68,Y
A3B1C4A0.JPG,2026-06-23 23:52:42,57,0,64,74,Y
A3B1FA80.JPG,2026-06-24 00:07:04,45,0,64,73,Y
A3B23060.JPG,2026-06-24 00:21:26,35,0,64,69,Y
A3B26630.JPG,2026-06-24 00:35:47,138,0,64,57,Y
A3B2D1D0.JPG,2026-06-24 01:04:29,376,0,64,66,Y
A3B307B0.JPG,2026-06-24 01:18:51,376,0,64,70,Y
A3B33D80.JPG,2026-06-24 01:33:12,376,0,64,65,Y
A3B37360.JPG,2026-06-24 01:47:34,376,0,66,60,Y
A3B3A920.JPG,2026-06-24 02:01:54,376,0,67,73,Y
A3B3A930.JPG,2026-06-24 02:01:55,160,0,64,76,Y
A3B3DF10.JPG,2026-06-24 02:16:17,38,0,64,78,Y
A3B414E0.JPG,2026-06-24 02:30:38,37,0,64,66,Y
A3B44AB0.JPG,2026-06-24 02:44:59,188,0,64,70,Y
A3B48090.JPG,2026-06-24 02:59:21,78,0,64,75,Y
A3B4B660.JPG,2026-06-24 03:13:42,2,0,64,66,Y
A3B4EC40.JPG,2026-06-24 03:28:04,3,0,64,61,Y
A3B52240.JPG,2026-06-24 03:42:28,37,0,64,68,Y
A3B55830.JPG,2026-06-24 03:56:51,81,0,64,83,Y
A3B58E20.JPG,2026-06-24 04:11:14,83,0,64,66,Y
A3B5F9E0.JPG,2026-06-24 04:39:58,376,0,64,69,Y
A3B5F9F0.JPG,2026-06-24 04:39:59,107,0,64,57,Y
A3B66590.JPG,2026-06-24 05:08:41,376,1,64,72,Y
A3B69B70.JPG,2026-06-24 05:23:03,376,3,66,76,Y
A3B6D150.JPG,2026-06-24 05:37:25,376,4,66,61,Y
A3B70730.JPG,2026-06-24 05:51:47,376,4,192,12,N
A3B73D00.JPG,2026-06-24 06:06:08,376,4,192,9,N
A3B772E0.JPG,2026-06-24 06:20:30,376,4,192,13,N
A3B7A8B0.JPG,2026-06-24 06:34:51,376,4,192,15,N
A3B7DE90.JPG,2026-06-24 06:49:13,376,4,192,14,N
A3B81460.JPG,2026-06-24 07:03:34,376,4,192,14,N
A3B84A40.JPG,2026-06-24 07:17:56,376,4,192,15,N
A3B88010.JPG,2026-06-24 07:32:17,376,4,192,14,N
A3B8B5E0.JPG,2026-06-24 07:46:38,376,4,192,13,N
A3B8EBC0.JPG,2026-06-24 08:01:00,376,4,192,14,N
A3B92190.JPG,2026-06-24 08:15:21,376,4,192,13,N
A3B95760.JPG,2026-06-24 08:29:42,376,4,192,14,N
A3B98D40.JPG,2026-06-24 08:44:04,376,4,192,15,N
A3B9C310.JPG,2026-06-24 08:58:25,376,4,192,15,N
A3B9F8F0.JPG,2026-06-24 09:12:47,376,4,192,15,N
A3BA2EC0.JPG,2026-06-24 09:27:08,376,4,192,13,N
A3BA6490.JPG,2026-06-24 09:41:29,376,4,192,13,N
A3BA9A70.JPG,2026-06-24 09:55:51,376,4,192,8,N
A3BAD040.JPG,2026-06-24 10:10:12,376,4,192,9,N
A3BB0610.JPG,2026-06-24 10:24:33,376,4,192,9,N
A3BB3BE0.JPG,2026-06-24 10:38:54,376,4,192,7,N
A3BB71B0.JPG,2026-06-24 10:53:15,376,4,192,3,N
A3BBA790.JPG,2026-06-24 11:07:37,376,4,192,2,N
A3BBDD60.JPG,2026-06-24 11:21:58,376,4,192,2,N
A3BC1330.JPG,2026-06-24 11:36:19,376,4,192,2,N
A3BC4900.JPG,2026-06-24 11:50:40,376,4,192,2,N
A3BC7EE0.JPG,2026-06-24 12:05:02,376,4,192,2,N
A3BCB4B0.JPG,2026-06-24 12:19:23,376,4,192,2,N
A3BCEA80.JPG,2026-06-24 12:33:44,376,4,192,2,N
A3BD2050.JPG,2026-06-24 12:48:05,376,4,192,2,N
A3BD5630.JPG,2026-06-24 13:02:27,376,4,192,2,N
A3BD8C00.JPG,2026-06-24 13:16:48,376,4,192,2,N
A3BDC1D0.JPG,2026-06-24 13:31:09,376,4,192,2,N
A3BDF7A0.JPG,2026-06-24 13:45:30,376,4,192,2,N
A3BE2D70.JPG,2026-06-24 13:59:51,376,4,192,2,N
A3BE6350.JPG,2026-06-24 14:14:13,376,4,192,2,N
A3BE9920.JPG,2026-06-24 14:28:34,376,4,192,2,N
A3BECEF0.JPG,2026-06-24 14:42:55,376,4,192,2,N
A3BF04C0.JPG,2026-06-24 14:57:16,376,4,192,2,N
A3BF3A90.JPG,2026-06-24 15:11:37,376,4,192,2,N
A3BF7070.JPG,2026-06-24 15:25:59,376,4,192,0,N
A3BFA640.JPG,2026-06-24 15:40:20,376,4,192,1,N
A3BFDC10.JPG,2026-06-24 15:54:41,376,4,192,1,N
A3C011E0.JPG,2026-06-24 16:09:02,376,4,192,2,N
A3C047B0.JPG,2026-06-24 16:23:23,376,4,192,1,N
A3C07D80.JPG,2026-06-24 16:37:44,376,4,192,1,N
A3C0B350.JPG,2026-06-24 16:52:05,376,4,192,1,N
A3C0E930.JPG,2026-06-24 17:06:27,376,4,192,2,N
A3C11F00.JPG,2026-06-24 17:20:48,376,4,192,1,N
A3C154D0.JPG,2026-06-24 17:35:09,376,4,192,2,N
A3C18AA0.JPG,2026-06-24 17:49:30,376,4,192,2,N
A3C1C070.JPG,2026-06-24 18:03:51,376,4,192,2,N
A3C1F640.JPG,2026-06-24 18:18:12,376,4,192,2,N
A3C22C10.JPG,2026-06-24 18:32:33,376,4,192,2,N
A3C261E0.JPG,2026-06-24 18:46:54,376,4,192,3,N
A3C297B0.JPG,2026-06-24 19:01:15,376,4,192,18,N
